time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-19T20:31:56.545Z,-18.881,178.0841,37.35,5.7,mww,,38,1.13,0.91,us,us70005w2i,2019-10-19T22:00:15.326Z,"90km SSW of Suva, Fiji",earthquake,4.4,5,0.073,18,reviewed,us,us
2019-10-19T19:36:43.741Z,-1.3966,150.3547,35.01,4.8,mb,,86,3.055,0.73,us,us70005w25,2019-10-19T21:14:26.040Z,"139km NNW of Kavieng, Papua New Guinea",earthquake,7.6,6.7,0.074,56,reviewed,us,us
2019-10-19T19:32:43.861Z,-55.5639,-25.8472,44.3,5,mb,,52,6.268,1.05,us,us70005w2c,2019-10-19T20:24:05.040Z,"151km NE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.6,5.4,0.072,61,reviewed,us,us
2019-10-19T17:28:30.975Z,-37.9841,176.3769,168.5,4.3,mb,,100,0.737,1.41,us,us70005w0t,2019-10-19T18:02:11.040Z,"20km NE of Rotorua, New Zealand",earthquake,7.2,5.9,0.13,17,reviewed,us,us
2019-10-19T16:39:00.418Z,-61.7318,-54.157,24.23,4.6,mb,,66,2.127,0.75,us,us70005w0q,2019-10-19T18:55:32.040Z,"South Shetland Islands",earthquake,5.4,5.6,0.125,19,reviewed,us,us
2019-10-19T16:32:44.860Z,-18.4088,-172.0856,10,5,mb,,102,2.15,0.98,us,us70005w0a,2019-10-19T16:48:00.040Z,"202km E of Neiafu, Tonga",earthquake,4.8,1.9,0.121,22,reviewed,us,us
2019-10-19T14:29:19.693Z,-8.7769,127.4831,10,5.2,mb,,109,3.32,1.34,us,us70005vzl,2019-10-19T14:43:10.040Z,"210km E of Aileu, East Timor",earthquake,5,1.9,0.12,23,reviewed,us,us
2019-10-19T14:09:23.562Z,-5.725,152.0949,54.04,4.6,mb,,160,1.525,0.87,us,us70005vzk,2019-10-19T17:04:50.040Z,"152km S of Kokopo, Papua New Guinea",earthquake,10.9,9.9,0.125,19,reviewed,us,us
2019-10-19T11:53:12.729Z,-18.6668,-172.4746,10,5.3,mww,,116,19.195,1.08,us,us70005vy0,2019-10-19T12:35:52.040Z,"159km E of Neiafu, Tonga",earthquake,15.7,1.9,0.073,18,reviewed,us,us
2019-10-19T11:12:00.184Z,3.52,92.7176,10,4.9,mb,,62,4.546,0.33,us,us70005vxn,2019-10-19T11:38:11.040Z,"Off the west coast of northern Sumatra",earthquake,9.7,1.9,0.088,40,reviewed,us,us
2019-10-19T09:51:40.125Z,-18.7089,-171.9348,10,4.7,mb,,90,1.935,0.7,us,us70005vx0,2019-10-19T10:53:59.040Z,"215km W of Alofi, Niue",earthquake,10.2,1.8,0.118,22,reviewed,us,us
2019-10-19T08:40:13.240Z,-18.3126,-171.8344,10,5.3,mww,,93,1.96,0.89,us,us70005vw9,2019-10-19T16:42:49.744Z,"218km WNW of Alofi, Niue",earthquake,7.9,1.9,0.073,18,reviewed,us,us
2019-10-19T07:57:08.123Z,-17.5896,-69.4975,172.08,4.5,mb,,81,0.016,0.98,us,us70005vw2,2019-10-19T08:20:20.040Z,"58km ESE of Tarata, Peru",earthquake,6.9,6.1,0.131,17,reviewed,us,us
2019-10-18T23:27:08.128Z,-6.1583,130.8892,96.69,4.4,mb,,75,1.857,1.03,us,us70005vsm,2019-10-18T23:43:40.040Z,"203km NNW of Saumlaki, Indonesia",earthquake,9,7.5,0.17,10,reviewed,us,us
2019-10-18T22:02:19.397Z,-7.092,129.115,170.84,4.8,mb,,61,2.338,0.93,us,us70005vr7,2019-10-18T22:20:18.040Z,"260km WNW of Saumlaki, Indonesia",earthquake,5.7,8,0.097,33,reviewed,us,us
2019-10-18T21:18:53.069Z,-18.0149,-174.3901,32.89,5.3,mb,,49,4.363,1.31,us,us70005vqy,2019-10-18T21:42:07.040Z,"82km NNW of Neiafu, Tonga",earthquake,9.1,2,0.038,230,reviewed,us,us
2019-10-18T13:25:48.996Z,-18.1447,-178.0902,621.1,5.3,mww,,79,3.693,1,us,us70005vfy,2019-10-18T19:18:31.040Z,"284km NNE of Ndoi Island, Fiji",earthquake,13,8.4,0.075,17,reviewed,us,us
2019-10-18T13:18:43.918Z,4.8286,125.2934,63.46,5.1,mb,,108,4.53,1.12,us,us70005vfq,2019-10-18T14:37:11.495Z,"66km SSW of Sarangani, Philippines",earthquake,8.1,8.1,0.098,34,reviewed,us,us
2019-10-18T10:54:12.525Z,-15.3441,-172.3076,10,4.9,mb,,107,1.516,0.9,us,us70005vei,2019-10-18T11:49:02.040Z,"158km SSW of Lotofaga, Samoa",earthquake,8.4,1.9,0.094,35,reviewed,us,us
2019-10-18T07:45:18.327Z,-18.766,-172.7931,10,5.1,mb,,68,2.73,0.77,us,us70005vc5,2019-10-18T08:03:31.040Z,"126km E of Neiafu, Tonga",earthquake,8.5,1.8,0.099,33,reviewed,us,us
2019-10-18T05:58:12.288Z,-7.9343,115.6172,245.23,4.3,mb,,62,1.544,0.97,us,us70005vaw,2019-10-18T06:42:49.040Z,"33km NNE of Sukadana, Indonesia",earthquake,9.8,8,0.133,16,reviewed,us,us
2019-10-18T02:28:12.381Z,-29.3825,-69.7567,104.76,4.5,mb,,47,0.661,0.81,us,us70005v95,2019-10-18T02:54:10.040Z,"116km NE of Vicuna, Chile",earthquake,5.1,5.4,0.108,25,reviewed,us,us
2019-10-17T19:34:06.894Z,-2.9265,141.6489,15.89,5.5,mww,,17,5.779,0.72,us,us70005v4h,2019-10-18T19:36:22.897Z,"47km SE of Vanimo, Papua New Guinea",earthquake,7.3,3.2,0.071,19,reviewed,us,us
2019-10-17T17:12:41.566Z,-6.5179,130.0861,170.06,4.5,mb,,90,1.888,0.89,us,us70005v2r,2019-10-17T21:02:40.040Z,"208km NW of Saumlaki, Indonesia",earthquake,9.4,5,0.124,19,reviewed,us,us
2019-10-17T16:58:28.646Z,-46.3998,-69.0574,10,4.4,mb,,82,2.264,0.72,us,us70005v2p,2019-10-18T19:42:14.877Z,"18km NNW of Las Heras, Argentina",earthquake,4.4,1.9,0.12,23,reviewed,us,us
2019-10-17T13:44:29.110Z,-34.3184,-72.382,10,4.6,mb,,169,1.042,0.88,us,us70005uzj,2019-10-18T20:42:52.040Z,"99km WNW of Santa Cruz, Chile",earthquake,3.4,2,0.193,8,reviewed,us,us
2019-10-17T06:35:03.054Z,-23.7452,-68.9941,92.41,4.2,mwr,,43,1.088,0.83,us,us70005uw2,2019-10-17T07:04:58.040Z,"121km SW of San Pedro de Atacama, Chile",earthquake,5.9,5.9,0.05,39,reviewed,us,us
